input_path,points_before,points_after,frames_total,frames_invalid,mean_conf,min_conf,subject,trial
E:\0.TA_Teguh\dataset3\D\Jalan1.csv,3840,3224,120,43,0.6333838836859188,0.0,D,1
E:\0.TA_Teguh\dataset3\D\Jalan2.csv,7033,6503,123,27,0.7571720950949358,0.0,D,2
E:\0.TA_Teguh\dataset3\D\Jalan3.csv,7117,6294,126,34,0.7103656559280136,0.0,D,3
E:\0.TA_Teguh\dataset3\D\Jalan4.csv,1098,599,106,76,0.2716600747451734,0.0,D,4
E:\0.TA_Teguh\dataset3\D\Jalan5.csv,1795,1056,129,91,0.29032039778835805,0.0,D,5
E:\0.TA_Teguh\dataset3\D\Jalan6.csv,3916,3053,124,57,0.5236499643697557,0.0,D,6
E:\0.TA_Teguh\dataset3\D\Jalan7.csv,5536,4083,132,50,0.6027753312741188,0.0,D,7
E:\0.TA_Teguh\dataset3\D\Jalan8.csv,3953,3660,105,36,0.6411133048105158,0.0,D,8
E:\0.TA_Teguh\dataset3\D\Jalan9.csv,6108,5086,129,52,0.5785825812978966,0.0,D,9
E:\0.TA_Teguh\dataset3\D\Jalan10.csv,4146,3653,130,57,0.5471352375179458,0.0,D,10
E:\0.TA_Teguh\dataset3\D\Jalan11.csv,4193,3524,146,67,0.5260450467723081,0.0,D,11
E:\0.TA_Teguh\dataset3\D\Jalan12.csv,5358,5086,121,21,0.8049445048043451,0.0,D,12
E:\0.TA_Teguh\dataset3\D\Jalan13.csv,5419,4746,138,38,0.7058241694823721,0.0,D,13
E:\0.TA_Teguh\dataset3\D\Jalan14.csv,3711,3378,111,30,0.7113477217034616,0.0,D,14
E:\0.TA_Teguh\dataset3\D\Jalan15.csv,9116,7338,356,154,0.5555887246724401,0.0,D,15
E:\0.TA_Teguh\dataset3\D\Jalan16.csv,11748,10931,284,56,0.7817494238591135,0.0,D,16
E:\0.TA_Teguh\dataset3\D\Jalan17.csv,10743,10073,241,39,0.8093748736176292,0.0,D,17
E:\0.TA_Teguh\dataset3\D\Jalan18.csv,10053,9559,188,18,0.8735557978271138,0.0,D,18
E:\0.TA_Teguh\dataset3\D\Jalan19.csv,10159,8546,301,81,0.714428958723789,0.0,D,19
E:\0.TA_Teguh\dataset3\D\Jalan20.csv,10956,10113,286,55,0.7869019009129913,0.0,D,20
E:\0.TA_Teguh\dataset3\D\Jalan21.csv,14189,13509,253,20,0.8933434747602071,0.0,D,21
E:\0.TA_Teguh\dataset3\D\Jalan22.csv,11545,11069,202,9,0.9226252053804742,0.0,D,22
E:\0.TA_Teguh\dataset3\D\Jalan23.csv,20464,18553,529,136,0.7226167085378675,0.0,D,23
E:\0.TA_Teguh\dataset3\D\Jalan24.csv,23201,21398,511,110,0.766556284976024,0.0,D,24
E:\0.TA_Teguh\dataset3\D\Jalan25.csv,2831,2567,92,30,0.6584229259012616,0.0,D,25
E:\0.TA_Teguh\dataset3\D\Jalan26.csv,6232,5945,102,10,0.8737554672348952,0.0,D,26
E:\0.TA_Teguh\dataset3\D\Jalan27.csv,5398,4552,116,38,0.6504291287752153,0.0,D,27
E:\0.TA_Teguh\dataset3\D\Jalan28.csv,710,323,79,63,0.1975661413830381,0.0,D,28
